,Date,Close,Open,High,Low,PE,Ratio
419,1961-08-31,68.07,68.07,68.07,68.07,20.94,22.27
420,1961-09-01,68.190002,68.190002,68.190002,68.190002,20.71,22.05
421,1961-09-05,67.959999,67.959999,67.959999,67.959999,20.71,22.05
422,1961-09-06,68.459999,68.459999,68.459999,68.459999,20.71,22.05
423,1961-09-07,68.349998,68.349998,68.349998,68.349998,20.71,22.05
424,1961-09-08,67.879997,67.879997,67.879997,67.879997,20.71,22.05
425,1961-09-11,67.279999,67.279999,67.279999,67.279999,20.71,22.05
426,1961-09-12,67.959999,67.959999,67.959999,67.959999,20.71,22.05
427,1961-09-13,68.010002,68.010002,68.010002,68.010002,20.71,22.05
428,1961-09-14,67.529999,67.529999,67.529999,67.529999,20.71,22.05
429,1961-09-15,67.650002,67.650002,67.650002,67.650002,20.71,22.05
430,1961-09-18,67.209999,67.209999,67.209999,67.209999,20.71,22.05
431,1961-09-19,66.080002,66.080002,66.080002,66.080002,20.71,22.05
432,1961-09-20,66.959999,66.959999,66.959999,66.959999,20.71,22.05
433,1961-09-21,66.989998,66.989998,66.989998,66.989998,20.71,22.05
434,1961-09-22,66.720001,66.720001,66.720001,66.720001,20.71,22.05
435,1961-09-25,65.769997,65.769997,65.769997,65.769997,20.71,22.05
436,1961-09-26,65.779999,65.779999,65.779999,65.779999,20.71,22.05
437,1961-09-27,66.470001,66.470001,66.470001,66.470001,20.71,22.05
438,1961-09-28,66.580002,66.580002,66.580002,66.580002,20.71,22.05
439,1961-09-29,66.730003,66.730003,66.730003,66.730003,20.71,22.05
440,1961-10-02,66.769997,66.769997,66.769997,66.769997,20.92,21.96
441,1961-10-03,66.730003,66.730003,66.730003,66.730003,20.92,21.96
442,1961-10-04,67.18,67.18,67.18,67.18,20.92,21.96
443,1961-10-05,67.769997,67.769997,67.769997,67.769997,20.92,21.96
444,1961-10-06,66.970001,66.970001,66.970001,66.970001,20.92,21.96
445,1961-10-09,67.940002,67.940002,67.940002,67.940002,20.92,21.96
446,1961-10-10,68.110001,68.110001,68.110001,68.110001,20.92,21.96
447,1961-10-11,68.169998,68.169998,68.169998,68.169998,20.92,21.96
448,1961-10-12,68.160004,68.160004,68.160004,68.160004,20.92,21.96
449,1961-10-13,68.040001,68.040001,68.040001,68.040001,20.92,21.96
450,1961-10-16,67.849998,67.849998,67.849998,67.849998,20.92,21.96
451,1961-10-17,67.870003,67.870003,67.870003,67.870003,20.92,21.96
452,1961-10-18,68.209999,68.209999,68.209999,68.209999,20.92,21.96
453,1961-10-19,68.449997,68.449997,68.449997,68.449997,20.92,21.96
454,1961-10-20,68.0,68.0,68.0,68.0,20.92,21.96
455,1961-10-23,68.059998,68.059998,68.059998,68.059998,20.92,21.96
456,1961-10-24,67.980003,67.980003,67.980003,67.980003,20.92,21.96
457,1961-10-25,68.339996,68.339996,68.339996,68.339996,20.92,21.96
458,1961-10-26,68.459999,68.459999,68.459999,68.459999,20.92,21.96
459,1961-10-27,68.339996,68.339996,68.339996,68.339996,20.92,21.96
460,1961-10-30,68.419998,68.419998,68.419998,68.419998,20.92,21.96
461,1961-10-31,68.620003,68.620003,68.620003,68.620003,20.92,21.96
462,1961-11-01,68.730003,68.730003,68.730003,68.730003,21.86,22.61
463,1961-11-02,69.110001,69.110001,69.110001,69.110001,21.86,22.61
464,1961-11-03,69.470001,69.470001,69.470001,69.470001,21.86,22.61
465,1961-11-06,70.010002,70.010002,70.010002,70.010002,21.86,22.61
466,1961-11-08,70.870003,70.870003,70.870003,70.870003,21.86,22.61
467,1961-11-09,70.769997,70.769997,70.769997,70.769997,21.86,22.61
468,1961-11-10,71.07,71.07,71.07,71.07,21.86,22.61
469,1961-11-13,71.269997,71.269997,71.269997,71.269997,21.86,22.61
470,1961-11-14,71.660004,71.660004,71.660004,71.660004,21.86,22.61
471,1961-11-15,71.669998,71.669998,71.669998,71.669998,21.86,22.61
472,1961-11-16,71.620003,71.620003,71.620003,71.620003,21.86,22.61
473,1961-11-17,71.620003,71.620003,71.620003,71.620003,21.86,22.61
474,1961-11-20,71.720001,71.720001,71.720001,71.720001,21.86,22.61
475,1961-11-21,71.779999,71.779999,71.779999,71.779999,21.86,22.61
476,1961-11-22,71.699997,71.699997,71.699997,71.699997,21.86,22.61
477,1961-11-24,71.839996,71.839996,71.839996,71.839996,21.86,22.61
478,1961-11-27,71.849998,71.849998,71.849998,71.849998,21.86,22.61
479,1961-11-28,71.75,71.75,71.75,71.75,21.86,22.61
480,1961-11-29,71.699997,71.699997,71.699997,71.699997,21.86,22.61
481,1961-11-30,71.32,71.32,71.32,71.32,21.86,22.61
482,1961-12-01,71.779999,71.779999,71.779999,71.779999,22.04,22.49
483,1961-12-04,72.010002,72.010002,72.010002,72.010002,22.04,22.49
484,1961-12-05,71.93,71.93,71.93,71.93,22.04,22.49
485,1961-12-06,71.989998,71.989998,71.989998,71.989998,22.04,22.49
486,1961-12-07,71.699997,71.699997,71.699997,71.699997,22.04,22.49
487,1961-12-08,72.040001,72.040001,72.040001,72.040001,22.04,22.49
488,1961-12-11,72.389999,72.389999,72.389999,72.389999,22.04,22.49
489,1961-12-12,72.639999,72.639999,72.639999,72.639999,22.04,22.49
490,1961-12-13,72.529999,72.529999,72.529999,72.529999,22.04,22.49
491,1961-12-14,71.980003,71.980003,71.980003,71.980003,22.04,22.49
492,1961-12-15,72.010002,72.010002,72.010002,72.010002,22.04,22.49
493,1961-12-18,71.760002,71.760002,71.760002,71.760002,22.04,22.49
494,1961-12-19,71.260002,71.260002,71.260002,71.260002,22.04,22.49
495,1961-12-20,71.120003,71.120003,71.120003,71.120003,22.04,22.49
496,1961-12-21,70.860001,70.860001,70.860001,70.860001,22.04,22.49
497,1961-12-22,70.910004,70.910004,70.910004,70.910004,22.04,22.49
498,1961-12-26,71.019997,71.019997,71.019997,71.019997,22.04,22.49
499,1961-12-27,71.650002,71.650002,71.650002,71.650002,22.04,22.49
500,1961-12-28,71.690002,71.690002,71.690002,71.690002,22.04,22.49
501,1961-12-29,71.550003,71.550003,71.550003,71.550003,22.04,22.49
502,1962-01-02,70.959999,71.550003,71.959999,70.709999,21.2,21.25
503,1962-01-03,71.129997,70.959999,71.480003,70.379997,21.2,21.25
504,1962-01-04,70.639999,71.129997,71.620003,70.449997,21.2,21.25
505,1962-01-05,69.660004,70.639999,70.839996,69.349998,21.2,21.25
506,1962-01-08,69.120003,69.660004,69.839996,68.169998,21.2,21.25
507,1962-01-09,69.150002,69.120003,69.93,68.830002,21.2,21.25
508,1962-01-10,68.959999,69.150002,69.580002,68.620003,21.2,21.25
509,1962-01-11,69.370003,68.959999,69.540001,68.57,21.2,21.25
510,1962-01-12,69.610001,69.370003,70.169998,69.230003,21.2,21.25
511,1962-01-15,69.470001,69.610001,69.959999,69.059998,21.2,21.25
512,1962-01-16,69.07,69.470001,69.610001,68.68,21.2,21.25
513,1962-01-17,68.32,69.07,69.309998,68.129997,21.2,21.25
514,1962-01-18,68.389999,68.32,68.730003,67.75,21.2,21.25
515,1962-01-19,68.75,68.389999,70.080002,68.139999,21.2,21.25
516,1962-01-22,68.809998,68.75,69.370003,68.449997,21.2,21.25
517,1962-01-23,68.290001,68.809998,68.959999,68.0,21.2,21.25
518,1962-01-24,68.400002,68.290001,68.68,67.550003,21.2,21.25
519,1962-01-25,68.349998,68.400002,69.050003,68.099998,21.2,21.25
520,1962-01-26,68.129997,68.349998,68.669998,67.830002,21.2,21.25
521,1962-01-29,67.900002,68.129997,68.5,67.550003,21.2,21.25
522,1962-01-30,68.169998,67.900002,68.650002,67.620003,21.2,21.25
523,1962-01-31,68.839996,68.169998,69.089996,68.120003,21.2,21.25
524,1962-02-01,69.260002,68.839996,69.650002,68.559998,21.45,21.21
525,1962-02-02,69.809998,69.260002,70.019997,69.019997,21.45,21.21
526,1962-02-05,69.879997,69.809998,70.300003,69.419998,21.45,21.21
527,1962-02-06,69.959999,69.879997,70.32,69.410004,21.45,21.21
528,1962-02-07,70.419998,69.959999,70.669998,69.779999,21.45,21.21
529,1962-02-08,70.580002,70.419998,70.949997,70.160004,21.45,21.21
530,1962-02-09,70.480003,70.580002,70.830002,69.93,21.45,21.21
531,1962-02-12,70.459999,70.480003,70.809998,70.139999,21.45,21.21
532,1962-02-13,70.449997,70.459999,70.889999,70.07,21.45,21.21
533,1962-02-14,70.419998,70.449997,70.790001,70.029999,21.45,21.21
534,1962-02-15,70.739998,70.419998,71.059998,70.230003,21.45,21.21
535,1962-02-16,70.589996,70.739998,71.129997,70.269997,21.45,21.21
536,1962-02-19,70.410004,70.589996,70.959999,70.120003,21.45,21.21
537,1962-02-20,70.660004,70.410004,70.910004,70.129997,21.45,21.21
538,1962-02-21,70.32,70.660004,70.970001,70.120003,21.45,21.21
539,1962-02-23,70.160004,70.32,70.57,69.730003,21.45,21.21
540,1962-02-26,69.760002,70.160004,70.330002,69.440002,21.45,21.21
541,1962-02-27,69.889999,69.760002,70.32,69.480003,21.45,21.21
542,1962-02-28,69.959999,69.889999,70.419998,69.57,21.45,21.21
543,1962-03-01,70.199997,69.959999,70.599998,69.760002,21.44,20.86
544,1962-03-02,70.160004,70.160004,70.160004,69.75,21.44,20.86
545,1962-03-05,70.010002,70.160004,70.480003,69.650002,21.44,20.86
546,1962-03-06,69.779999,70.010002,70.239998,69.459999,21.44,20.86
547,1962-03-07,69.690002,69.779999,70.07,69.370003,21.44,20.86
548,1962-03-08,70.190002,69.690002,70.370003,69.400002,21.44,20.86
549,1962-03-09,70.419998,70.190002,70.709999,70.0,21.44,20.86
550,1962-03-12,70.400002,70.419998,70.760002,70.019997,21.44,20.86
551,1962-03-13,70.599998,70.400002,70.860001,70.059998,21.44,20.86
